learning_rate,weight_decay,lambda_l1,n_epochs,n_layers,margin,test_size,feature,avg_weight
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0751376003026962
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0738378167152404
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0722017288208007
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0719533562660217
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0715299770236015
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0713588446378707
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0705498233437538
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0702090412378311
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0675297901034355
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.067348413169384
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0670822188258171
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0663669556379318
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0663198083639144
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0658230930566787
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0657577663660049
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0651827678084373
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0649908408522605
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0649546086788177
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0644518956542015
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0576540827751159
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0570843964815139
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0555541515350341
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0542248487472534
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0512068644165992
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0508635118603706
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0473845526576042
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0463491156697273
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.0456728860735893
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0438919328153133
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0293882936239242
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0269262101501226
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0834654867649078
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0832174494862556
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0828160271048545
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0782073885202407
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0765600353479385
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0762801021337509
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0741258785128593
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0733985900878906
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0727751553058624
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0725584179162979
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0718834400177002
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0710523650050163
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0709050223231315
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0702784210443496
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0698892921209335
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0696536600589752
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0691522508859634
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0682769417762756
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0678517967462539
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0671608448028564
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0667105168104171
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0655140727758407
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.065337173640728
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0649699568748474
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0643081963062286
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0636996999382972
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0622915066778659
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0569552108645439
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0564513206481933
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.053596556186676
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0506078116595745
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0488866306841373
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0486486181616783
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0452797040343284
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0390782058238983
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.0383243970572948
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0341421477496624
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0294522531330585
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0256308875977993
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0872070118784904
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0828460752964019
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.078736163675785
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0755573213100433
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0741102620959281
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0736746937036514
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0720475688576698
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0720022693276405
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0709539651870727
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.070414662361145
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0697642490267753
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0696714594960212
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0695672482252121
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0695575028657913
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.066841036081314
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0657076388597488
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0652044713497161
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0651790574193
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0637884810566902
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0633703917264938
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0631628558039665
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0624547451734542
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0611583516001701
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0607897043228149
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0598419904708862
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0592386797070503
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0591051205992698
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0578215979039669
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.056485116481781
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0564322471618652
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0551680140197277
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0547114834189415
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.052155427634716
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0480251796543598
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0433088392019271
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0387235730886459
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0368659794330596
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0278113670647144
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0164401941001415
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0794762670993805
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0778810456395149
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0773090496659278
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0760715305805206
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0760082900524139
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0747504904866218
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0743305459618568
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0743081346154213
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0717046037316322
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0710330978035926
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0700849443674087
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0698898434638977
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0695837661623954
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0690278634428978
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0687362700700759
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0671045184135437
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0669735223054885
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.066842496395111
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0665826499462127
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.066520556807518
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0643671751022338
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0624955371022224
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0615386329591274
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0607454106211662
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0606197416782379
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0605729222297668
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0592840313911438
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0587118677794933
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0578864365816116
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0572128966450691
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0536813698709011
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0480264313519001
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.047039657831192
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0467724353075027
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0465092919766902
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0432798117399215
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0425715669989585
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0332830697298049
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0119092762470245
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0891104638576507
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.081493854522705
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0793225690722465
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.076804794371128
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0765945091843605
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0758048668503761
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0755900517106056
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0749164894223213
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0744188427925109
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0717950612306594
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0714711844921112
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0708056688308715
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0706660002470016
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0688066929578781
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0680174008011818
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0679451301693916
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0670245215296745
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0668462365865707
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0665773451328277
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0663584470748901
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0662856474518776
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0635180100798606
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0605778247117996
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0597140938043594
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0580579303205013
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0562401637434959
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0554691553115844
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0535081773996353
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0534800887107849
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0519882999360561
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0510745570063591
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0471757054328918
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.0453667417168617
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0437703840434551
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0417426005005836
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0394892245531082
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0357973724603652
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0278886705636978
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0246585961431264
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.095137171447277
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0842561870813369
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0797863602638244
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.0737597420811653
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0732665508985519
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0707625076174736
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0705954059958458
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0700180158019065
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0698992758989334
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.069847397506237
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0687822848558425
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0687668770551681
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0686287358403205
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0676852390170097
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0674518793821334
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0674328804016113
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0671647414565086
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0666057989001274
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0654390826821327
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0622487887740135
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0620854794979095
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0619343928992748
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.059061449021101
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.058850422501564
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0574769899249076
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.056160382926464
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0557132847607135
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0548610463738441
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0527955070137977
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0521430112421512
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.0516664907336235
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0490803942084312
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0482022799551487
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0470389947295188
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0429867282509803
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0410805121064186
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0365117900073528
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0296579040586948
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0269951280206441
0.001,1e-08,0.1,100,1,0.3,0.25,bmi,0.0851130113005638
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0813958793878555
0.001,1e-08,0.1,100,1,0.3,0.25,pTNM_stage,0.0805993601679802
0.001,1e-08,0.1,100,1,0.3,0.25,performance_status,0.0767062678933143
0.001,1e-08,0.1,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0756314992904663
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Bile duct,0.0745031684637069
0.001,1e-08,0.1,100,1,0.3,0.25,age_cancer_dx,0.0735313817858696
0.001,1e-08,0.1,100,1,0.3,0.25,grade_histological_differentiation,0.0707333832979202
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0705654025077819
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0704597011208534
0.001,1e-08,0.1,100,1,0.3,0.25,venous_insufficiency,0.068667933344841
0.001,1e-08,0.1,100,1,0.3,0.25,catheter_device,0.0681588351726532
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_NSCLC,0.0678649768233299
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Gastric,0.0677801668643951
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Colorectal,0.0675655230879783
0.001,1e-08,0.1,100,1,0.3,0.25,dyslipidemia,0.0659020245075225
0.001,1e-08,0.1,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0654341876506805
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0645236521959304
0.001,1e-08,0.1,100,1,0.3,0.25,family_background_vte,0.0642377361655235
0.001,1e-08,0.1,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0640166029334068
0.001,1e-08,0.1,100,1,0.3,0.25,diabetes_mellitus,0.0637233331799507
0.001,1e-08,0.1,100,1,0.3,0.25,arterial_hypertension,0.0624443590641021
0.001,1e-08,0.1,100,1,0.3,0.25,copd,0.0592241510748863
0.001,1e-08,0.1,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0588442087173461
0.001,1e-08,0.1,100,1,0.3,0.25,tumor_surgically_removed,0.0585944540798664
0.001,1e-08,0.1,100,1,0.3,0.25,previous_ate,0.0576148554682731
0.001,1e-08,0.1,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0556369498372077
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0538456812500953
0.001,1e-08,0.1,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0531162954866886
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Active smoker,0.0503890439867973
0.001,1e-08,0.1,100,1,0.3,0.25,rs268_n_risk_alleles,0.0496984608471393
0.001,1e-08,0.1,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0441044978797435
0.001,1e-08,0.1,100,1,0.3,0.25,rs2232698_n_risk_alleles,0.0413950234651565
0.001,1e-08,0.1,100,1,0.3,0.25,previous_vte,0.0403850525617599
0.001,1e-08,0.1,100,1,0.3,0.25,hormone_therapy,0.0385142154991626
0.001,1e-08,0.1,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0378017202019691
0.001,1e-08,0.1,100,1,0.3,0.25,renal_insufficiency,0.0347517952322959
0.001,1e-08,0.1,100,1,0.3,0.25,rs6025_n_risk_alleles,0.0332977324724197
0.001,1e-08,0.1,100,1,0.3,0.25,primary_tumor_Brain,0.0135305942967534
0.001,1e-08,0.1,100,1,0.3,0.25,sex,0.0786729678511619
0.001,1e-08,0.1,100,1,0.3,0.25,tobacco_use_Former smoker,0.0764015018939971
